alpha,beta,tv_direct,tv_closed_form,tv_residual,hellinger,kl,regime,forward_0,backward_0
0.019796,0.303878,0.017500853699,0.017500853699,2.776e-17,0.012375446166,0.000883827169,Smooth,0.491249573151,0.508750426849
0.019796,0.313673,0.016350594811,0.016350594811,1.145e-16,0.011562002876,0.000771454565,Smooth,0.491824702594,0.508175297406
0.019796,0.323469,0.015250680039,0.015250680039,1.388e-17,0.010784172823,0.000671145414,Smooth,0.492374659980,0.507625340020
0.019796,0.333265,0.014196076667,0.014196076667,-1.735e-16,0.010038394971,0.000581527670,Smooth,0.492901961667,0.507098038333
0.019796,0.343061,0.013182268791,0.013182268791,-1.041e-16,0.009321474141,0.000501429659,Smooth,0.493408865604,0.506591134396
0.019796,0.352857,0.012205184600,0.012205184600,5.031e-17,0.008630529512,0.000429847897,Smooth,0.493897407700,0.506102592300
0.019796,0.362653,0.011261134844,0.011261134844,1.232e-16,0.007962951043,0.000365920897,Smooth,0.494369432578,0.505630567422
0.019796,0.372449,0.010346760475,0.010346760475,4.510e-17,0.007316362405,0.000308907764,Smooth,0.494826619763,0.505173380237
0.019796,0.382245,0.009458987816,0.009458987816,7.633e-17,0.006688589236,0.000258170621,Smooth,0.495270506092,0.504729493908
0.019796,0.392041,0.008594989949,0.008594989949,7.633e-17,0.006077631801,0.000213160130,Smooth,0.495702505026,0.504297494974
0.019796,0.401837,0.007752153240,0.007752153240,-2.082e-17,0.005481641303,0.000173403529,Smooth,0.496123923380,0.503876076620
0.019796,0.411633,0.006928048138,0.006928048138,-6.939e-18,0.004898899211,0.000138494739,Smooth,0.496535975931,0.503464024069
0.019796,0.421429,0.006120403512,0.006120403512,-9.454e-17,0.004327799092,0.000108086155,Smooth,0.496939798244,0.503060201756
0.019796,0.431224,0.005327083934,0.005327083934,-1.475e-17,0.003766830536,0.000081881864,Smooth,0.497336458033,0.502663541967
0.019796,0.441020,0.004546069403,0.004546069403,8.587e-17,0.003214564807,0.000059632038,Smooth,0.497726965299,0.502273034701
0.019796,0.450816,0.003775437076,0.003775437076,1.266e-16,0.002669641915,0.000041128330,Smooth,0.498112281462,0.501887718538
0.019796,0.460612,0.003013344665,0.003013344665,-9.021e-17,0.002130758865,0.000026200131,Smooth,0.498493327668,0.501506672332
